Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW17,SW_PUSH,MX-Hotswap-1U,97.85,-40.85,0.0,top
SW18,SW_PUSH,MX-Hotswap-1U,116.85,-40.85,0.0,top
SW19,SW_PUSH,MX-Hotswap-1U,154.85,-40.85,0.0,top
SW20,SW_PUSH,MX-Hotswap-1U,173.85,-40.85,0.0,top
SW21,SW_PUSH,MX-Hotswap-1U,192.85,-40.85,0.0,top
SW22,SW_PUSH,MX-Hotswap-1U,211.85,-40.85,0.0,top
SW23,SW_PUSH,MX-Hotswap-1U,230.85,-40.85,0.0,top
SW24,SW_PUSH,MX-Hotswap-1U,249.85,-40.85,0.0,top
SW25,SW_PUSH,MX-Hotswap-1U,21.85,-59.85,0.0,top
SW26,SW_PUSH,MX-Hotswap-1U,40.85,-59.85,0.0,top
SW27,SW_PUSH,MX-Hotswap-1U,59.86,-59.85,0.0,top
SW28,SW_PUSH,MX-Hotswap-1U,78.85,-59.85,0.0,top
SW29,SW_PUSH,MX-Hotswap-1U,97.85,-59.85,0.0,top
SW30,SW_PUSH,MX-Hotswap-1U,116.85,-59.85,0.0,top
SW31,SW_PUSH,MX-Hotswap-1U,154.85,-59.85,0.0,top
SW32,SW_PUSH,MX-Hotswap-1U,173.85,-59.85,0.0,top
SW33,SW_PUSH,MX-Hotswap-1U,192.85,-59.85,0.0,top
SW34,SW_PUSH,MX-Hotswap-1U,211.85,-59.85,0.0,top
SW35,SW_PUSH,MX-Hotswap-1U,230.85,-59.85,0.0,top
SW36,SW_PUSH,MX-Hotswap-1U,249.85,-59.85,0.0,top
SW37,SW_PUSH,MX-Hotswap-1U,21.85,-78.85,0.0,top
SW38,SW_PUSH,MX-Hotswap-1U,40.85,-78.85,0.0,top
SW39,SW_PUSH,MX-Hotswap-1U,59.85,-78.85,0.0,top
SW40,SW_PUSH,MX-Hotswap-1U,78.85,-78.85,0.0,top
SW41,SW_PUSH,MX-Hotswap-1U,97.85,-78.85,0.0,top
SW42,SW_PUSH,MX-Hotswap-1U,116.85,-78.85,0.0,top
SW43,SW_PUSH,MX-Hotswap-1U,154.85,-78.85,0.0,top
SW44,SW_PUSH,MX-Hotswap-1U,173.85,-78.85,0.0,top
SW45,SW_PUSH,MX-Hotswap-1U,192.85,-78.85,0.0,top
SW46,SW_PUSH,MX-Hotswap-1U,211.85,-78.85,0.0,top
SW47,SW_PUSH,MX-Hotswap-1U,230.85,-78.85,0.0,top
SW48,SW_PUSH,MX-Hotswap-1U,249.85,-78.85,0.0,top
SW49,SW_PUSH,MX-Hotswap-1U,2.85,-40.85,0.0,top
SW50,SW_PUSH,MX-Hotswap-1U,2.85,-59.85,0.0,top
SW51,SW_PUSH,MX-Hotswap-1U,2.85,-78.85,0.0,top
SW52,SW_PUSH,MX-Hotswap-1U,78.85,-97.85,0.0,top
SW53,SW_PUSH,MX-Hotswap-1U,97.85,-97.85,0.0,top
SW54,SW_PUSH,MX-Hotswap-1U,116.85,-97.85,0.0,top
SW55,SW_PUSH,MX-Hotswap-1U,154.85,-97.85,0.0,top
SW56,SW_PUSH,MX-Hotswap-1U,173.85,-97.85,0.0,top
SW57,SW_PUSH,MX-Hotswap-1U,192.85,-97.85,0.0,top
SW58,SW_PUSH,MX-Hotswap-1U,268.85,-78.85,0.0,top
SW59,SW_PUSH,MX-Hotswap-1U,268.85,-59.85,0.0,top
SW60,SW_PUSH,MX-Hotswap-1U,268.85,-40.85,0.0,top
U1,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,135.4,-36.4,90.0,bottom
U2,USBLC6-2SC6,SOT-23-6,135.85,-24.7,90.0,bottom
U3,XC6206PxxxMR,SOT-23-3,142.4,-28.2,90.0,bottom
